device,clicks_by_device,downloads_by_device,download_ratio_by_device
0,1033413,101817,0.09852498468666449
1,174330052,306495,0.0017581306061906067
2,8105054,2223,0.0002742733114424654
4,1713,320,0.18680677174547577
5,14379,0,0.0
6,12569,2937,0.2336701408226589
7,3075,607,0.19739837398373983
8,1259,188,0.14932486100079428
9,1189,263,0.22119428090832632
10,38,5,0.13157894736842105
11,1572,251,0.15966921119592875
12,48,6,0.125
13,32,2,0.0625
14,574,113,0.19686411149825783
15,167,26,0.15568862275449102
16,10147,2202,0.2170099536808909
17,448,78,0.17410714285714285
18,6742,1473,0.21848116285968555
19,389,70,0.17994858611825193
20,2031,255,0.1255539143279173
21,5430,1150,0.21178637200736647
22,160,30,0.1875
23,110,11,0.1
24,278,53,0.1906474820143885
25,1786,303,0.1696528555431131
26,174,5,0.028735632183908046
27,188,22,0.11702127659574468
28,131,19,0.1450381679389313
29,408,64,0.1568627450980392
30,4199,802,0.19099785663253155
31,23,0,0.0
32,187,55,0.29411764705882354
33,5337,1100,0.20610830054337642
34,481,74,0.15384615384615385
35,260,53,0.20384615384615384
36,937,222,0.23692636072572038
37,3474,666,0.19170984455958548
38,119,18,0.15126050420168066
39,79,8,0.10126582278481013
40,12351,2605,0.2109140960246134
41,19,2,0.10526315789473684
42,1019,168,0.1648675171736997
43,82,3,0.036585365853658534
44,470,88,0.18723404255319148
45,615,116,0.1886178861788618
46,3001,466,0.15528157280906366
47,56,8,0.14285714285714285
48,68,2,0.029411764705882353
49,446,71,0.1591928251121076
50,2770,581,0.20974729241877257
51,401,82,0.20448877805486285
52,295,44,0.14915254237288136
53,893,148,0.16573348264277715
54,811,189,0.23304562268803947
55,7,0,0.0
56,2247,344,0.15309301290609703
57,185,20,0.10810810810810811
58,344,54,0.1569767441860465
59,24018,21,0.0008743442418186361
60,2335,420,0.17987152034261242
61,657,99,0.1506849315068493
62,36,7,0.19444444444444445
63,212,34,0.16037735849056603
64,313,21,0.0670926517571885
65,86,6,0.06976744186046512
66,80,15,0.1875
67,3770,809,0.21458885941644562
68,695,137,0.1971223021582734
69,64,12,0.1875
70,113,15,0.13274336283185842
71,75,18,0.24
72,471,67,0.14225053078556263
73,962,144,0.1496881496881497
74,506,81,0.1600790513833992
75,308,65,0.21103896103896103
76,1571,310,0.19732654360280077
77,76,9,0.11842105263157894
78,2767,596,0.2153957354535598
79,197,45,0.22842639593908629
80,87,15,0.1724137931034483
81,53,2,0.03773584905660377
82,2287,428,0.18714473108876256
83,97,16,0.16494845360824742
84,157,32,0.20382165605095542
86,253,47,0.1857707509881423
87,28,4,0.14285714285714285
88,3262,744,0.22808093194359289
89,918,189,0.20588235294117646
90,100,16,0.16
92,405,36,0.08888888888888889
93,15,3,0.2
94,561,121,0.21568627450980393
95,684,148,0.21637426900584794
96,2110,322,0.15260663507109004
97,2537,485,0.19117067402443833
98,8,0,0.0
99,220,13,0.05909090909090909
100,870,139,0.15977011494252874
101,1253,298,0.237829209896249
102,583,113,0.19382504288164665
103,1031,169,0.16391852570320078
104,525,48,0.09142857142857143
105,88,11,0.125
106,813,143,0.17589175891758918
107,174,22,0.12643678160919541
108,114,21,0.18421052631578946
109,2973,614,0.2065253952236798
110,109,16,0.14678899082568808
111,13,0,0.0
112,463,49,0.10583153347732181
113,116,14,0.1206896551724138
114,3585,718,0.200278940027894
115,177,21,0.11864406779661017
116,476,101,0.21218487394957983
117,15,1,0.06666666666666667
118,485,75,0.15463917525773196
119,27,3,0.1111111111111111
120,4,1,0.25
121,10,1,0.1
122,318,44,0.13836477987421383
123,117,16,0.13675213675213677
124,1353,246,0.18181818181818182
125,3,0,0.0
126,40,5,0.125
127,926,147,0.1587473002159827
128,56,6,0.10714285714285714
129,763,144,0.18872870249017037
130,60,7,0.11666666666666667
131,254,33,0.12992125984251968
132,372,46,0.12365591397849462
133,71,24,0.3380281690140845
134,174,17,0.09770114942528736
135,35,9,0.2571428571428571
136,1628,336,0.20638820638820637
137,1259,268,0.21286735504368545
138,155,19,0.12258064516129032
139,13,1,0.07692307692307693
140,269,29,0.10780669144981413
141,337,44,0.13056379821958458
142,121,10,0.08264462809917356
144,27,2,0.07407407407407407
145,59,14,0.23728813559322035
146,20,1,0.05
147,151,27,0.17880794701986755
148,106,18,0.16981132075471697
149,51,9,0.17647058823529413
