os,clicks_by_os,downloads_by_os,download_ratio_by_os
0,364804,38039,0.10427243122334184
1,2215593,2294,0.0010353887198596493
2,691125,172,0.0002488695966720926
3,2904808,2454,0.0008448062660251555
4,593103,5707,0.009622274714509958
5,152361,116,0.0007613496892249329
6,4632561,5486,0.0011842261764065277
7,213026,5515,0.02588885863697389
8,5278317,5609,0.0010626493255331197
9,4370878,3189,0.0007296016955861042
10,5262422,6289,0.0011950770956795178
11,1354955,6161,0.004547014476495529
12,2006410,1517,0.0007560767739395239
13,39782808,61622,0.0015489605459725216
14,2503681,3869,0.0015453246639647782
15,4408470,4388,0.0009953566656912716
16,3081268,4225,0.0013711887443740693
17,9639776,11371,0.001179591724952945
18,8974159,11682,0.0013017375778610564
19,44181914,79669,0.0018032039082779437
20,4013563,5045,0.0012569878683852725
21,116237,19181,0.16501630289838864
22,7414405,13115,0.0017688540078401435
23,1844222,1255,0.0006805037571398671
24,374367,47461,0.12677666567833168
25,4156096,5065,0.0012186917722785998
26,881482,1232,0.0013976462366786842
27,1787478,6278,0.0035122110593808708
28,1317819,1421,0.0010782967918963075
29,103442,19534,0.18884012296746003
30,1156169,6017,0.0052042564711560334
31,767158,954,0.0012435508721801768
32,1658075,6955,0.0041946232830239885
34,263965,443,0.0016782527986664898
35,1687198,1477,0.0008754159262872526
36,714142,5701,0.007983006180843586
37,2905944,8230,0.0028321261524654295
38,177767,11976,0.0673690842507327
39,94800,0,0.0
40,660470,1856,0.0028101200660135962
41,2467180,1994,0.000808210183286181
42,405828,134,0.0003301891441694511
43,331317,5777,0.017436473226547386
44,175911,193,0.0010971457157312504
45,14438,2,0.00013852334118298935
46,287971,177,0.0006146452246927642
47,1450205,5899,0.004067700773338942
48,167284,273,0.0016319552377991918
49,650690,994,0.001527609153360279
50,72970,6575,0.09010552281759628
52,71580,110,0.0015367421067337245
53,1356478,484,0.000356806376513294
54,2182,0,0.0
55,77345,72,0.0009308940461568298
56,129303,0,0.0
57,22188,7,0.0003154858482062376
58,282315,127,0.000449852115544693
59,23390,1173,0.05014963659683625
60,14452,0,0.0
61,6019,5569,0.9252367502907459
62,36854,0,0.0
63,31167,1,3.20852183399108e-05
64,67683,1,1.4774758802062557e-05
65,104744,0,0.0
66,69170,114,0.001648113343935232
67,5502,495,0.08996728462377317
68,3275,0,0.0
69,10011,0,0.0
70,93613,1,1.0682277034172604e-05
71,8417,0,0.0
72,3684,0,0.0
73,37828,1,2.6435444644178915e-05
74,7413,0,0.0
75,450,0,0.0
76,25706,680,0.02645296817863534
77,56115,98,0.0017464136148979774
78,5287,0,0.0
79,80805,0,0.0
80,5876,2,0.0003403675970047651
81,5564,14,0.0025161754133716753
83,13764,0,0.0
84,2544,165,0.06485849056603774
85,15746,0,0.0
